mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-4.5,11.5,-45.5625,47.20637,-1.578976,-0.45404598,9.69917,0.52380824,0.24380504,-0.29810223
-6.5,8.25,-45.5,46.696495,-2.5212286,-0.30821994,10.955475,-0.33110642,-0.17673203,0.79529417
-7.5625,6.8125,-45.25,46.380642,-1.1854746,0.76932406,8.163931,0.28639108,-0.18099064,0.27680922
0.0625,8.25,-44.8125,45.565628,0.12875059,1.8512733,9.59053,0.13521066,-0.03939208,0.0031939526
3.0,4.0625,-44.75,45.034058,-3.3316848,0.7397796,12.294801,-0.30555478,1.1168188,0.25445154
8.25,-2.125,-43.5625,44.38772,-1.9877908,-0.8747934,10.2914095,0.32791245,0.37049848,1.6896008
17.5625,-1.3125,-40.0,43.705425,-2.0616279,-0.3650583,10.951817,0.48761007,0.93902206,2.3464904
19.125,-2.625,-38.9375,43.460155,-2.2354276,-2.806981,9.930172,-1.1338532,1.5650368,3.5271883
20.0,-5.5,-38.4375,43.677128,-1.3746166,-0.82668906,8.977797,-1.2009262,0.60259235,3.5804207
19.875,-5.3125,-38.875,43.982994,1.9282614,0.73593926,11.103043,-0.76974255,0.3981794,2.9075615
20.0,-4.5625,-39.0625,44.12137,2.4844248,1.1699027,11.34367,-0.6909584,0.03726278,1.5373558
21.75,-3.75,-38.75,44.594704,1.5070447,1.9769115,8.927001,-0.15330972,-0.16395622,0.15863298
19.5625,-2.875,-40.5,45.068913,-0.04114196,1.1013232,11.320159,-0.054297194,0.09155997,-0.014905112
18.9375,-2.125,-41.0,45.212215,-1.085531,0.29958168,9.229733,0.06387905,-0.37156314,-0.21931808
17.9375,-2.5,-41.4375,45.222454,-0.113379814,1.5307952,8.438058,0.29384363,-0.058555797,-0.5908812
15.0,-2.875,-42.8125,45.455208,-0.19846018,2.0275056,10.602884,0.29703757,-0.10752974,-0.7857123
13.125,-8.0625,-43.0,45.6757,0.4800949,0.99477166,8.408877,0.19163716,-0.5632003,-1.1508876
12.4375,-12.0,-42.4375,45.82175,-0.5390688,0.87095314,7.612872,0.47376963,-0.42692497,0.16715018
12.3125,-8.75,-43.3125,45.870827,-0.6118814,1.1201991,9.943886,0.25232226,-0.11498229,0.73993236
12.8125,-10.5625,-43.0,46.094757,0.01004607,1.1700081,10.6623,-0.5461659,-0.11498229,0.3119427
16.375,-8.3125,-42.1875,46.011124,0.18776287,1.9300331,9.215292,0.25019294,-0.07878416,0.05003859
17.375,-10.625,-40.9375,45.723736,-1.1640705,0.23463176,11.171882,-0.20441297,0.32258922,-0.06387905
16.3125,-19.8125,-37.75,45.64751,-3.0333195,-0.18636465,11.811583,0.09688323,0.11604694,0.49080405
8.6875,-23.125,-37.9375,45.271317,-4.3594866,-0.5290803,9.376067,0.26509807,0.6515663,2.3922703
5.625,-23.5,-37.9375,44.979378,-1.8046631,-1.6744376,11.095564,-0.60791564,0.7686779,3.4196584
4.0,-23.25,-37.9375,44.67456,0.57640886,1.326809,9.304538,-0.35665804,0.59620446,1.9174361
-0.5625,-19.3125,-39.9375,44.365448,-0.11243171,4.0791354,10.451055,-0.10752974,0.11391764,0.5291315
-1.0625,-20.25,-39.1875,44.123142,0.8673906,2.4134798,9.941501,-0.44715336,-0.70692813,-0.3854036
2.75,-19.75,-38.8125,43.63525,-0.1338263,2.304333,9.002151,0.15118042,-0.23209389,-0.20867157
2.0625,-19.625,-38.8125,43.54084,-1.1848617,1.5184314,11.301954,0.009581857,0.6898937,0.41414917
1.5625,-21.6875,-37.6875,43.510193,-1.0458735,0.9948003,9.945217,-0.058555797,-0.014905112,0.0628144
1.875,-21.6875,-37.5625,43.414337,-0.5840799,2.4348361,9.222254,0.29171434,-0.22570598,-0.2991669
-2.1875,-24.1875,-36.0625,43.47786,-1.0296121,0.55131763,10.990622,-0.022357667,-0.058555797,-0.5291315
-5.4375,-24.625,-35.5625,43.596428,-0.02030283,-0.8108395,10.133756,0.30874875,-0.34707618,0.14053391
-6.5625,-25.1875,-34.625,43.317055,-1.1605844,-0.6000827,11.209336,0.17034413,-0.16289158,0.4854808
-9.1875,-21.0625,-36.5,43.13107,1.1433462,1.8682722,9.001642,0.23741713,0.26083946,0.5866226
-15.6875,-15.625,-36.875,43.011673,0.3709959,2.9275532,10.672623,-0.43863615,0.08091346,0.7771951
-15.375,-19.625,-35.0,42.971283,-1.1365947,1.9985073,9.246081,-0.18311994,-0.086236715,1.8684622
-13.5,-14.625,-37.9375,42.841503,1.0255898,2.0310876,8.21236,0.80168205,0.25658086,0.4982566
-12.1875,-10.0625,-39.875,42.892944,1.0776398,0.9682822,10.62088,-0.4546059,0.5802347,0.649437
