mag_x,mag_y,mag_z,mag_h,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,degree
15.0,-10.25,-41.3125,45.130756,0.011405977,0.6396254,9.056269,0.1234995,-0.035133477,0.23315853,-115.919815
16.375,-8.875,-40.9375,44.975384,0.08655518,-0.13728352,12.920136,0.04045673,-0.3247185,0.18950784,-119.20926
15.125,-9.0,-41.3125,44.905327,-1.497123,0.089303724,8.549886,-0.11498229,-0.029810224,0.09262462,-137.73975
13.0625,-10.3125,-41.5,44.71271,-0.43108082,1.4019966,8.652875,0.26296875,0.11178834,-0.22038272,-107.4644
15.125,-8.6875,-40.8125,44.383537,0.052959744,0.8511292,11.494993,0.08836602,-0.17353809,-0.652631,-110.27018
16.0,-10.8125,-39.8125,44.248676,-0.5793872,-0.58008635,10.288584,0.070266955,0.246999,-0.15330972,-133.59819
13.75,-13.375,-39.75,44.13633,-0.7615764,0.8982087,8.653632,-0.09794788,0.48122218,0.5983338,-131.72766
12.875,-12.1875,-40.75,44.439434,-0.6628491,0.20546082,10.661974,-0.5898166,-0.11498229,0.41414917,-137.81145
10.625,-13.5,-41.125,44.56912,-0.83881336,0.4054724,8.382378,-0.09262462,-0.027680922,0.071331605,-150.5377
7.9375,-12.6875,-42.25,44.822304,-0.017592594,1.4305738,8.566827,0.35665804,-0.055361845,-0.0649437,-125.27071
10.6875,-13.875,-41.0625,44.64154,-0.47756663,0.8312381,11.668103,-0.17886133,0.120305546,-0.5898166,-140.44553
10.25,-13.1875,-41.3125,44.561142,-0.63563186,-0.009356541,9.003539,-0.017034413,0.2555162,0.118176244,-151.06241
10.8125,-10.375,-41.9375,44.53431,-0.20344968,1.2972263,8.6501255,-0.15118042,-0.15650368,0.2725506,-112.18757
13.6875,-10.6875,-41.0625,44.583622,-1.3128844,0.29264808,8.018201,0.054297194,-0.072396256,-0.1213702,-143.06706
11.875,-9.875,-41.5625,44.33929,-0.09181284,1.224232,9.153071,-0.35452873,0.01277581,0.21718878,-110.407196
11.0625,-8.125,-41.875,44.06711,0.025914839,0.7011659,11.65234,0.26296875,-0.37582174,-0.25232226,-116.6422
12.1875,-9.375,-40.9375,43.729908,-0.17399143,-0.72588366,9.488806,-0.16608553,0.42373103,-0.34920546,-137.51648
11.6875,-11.5,-40.0625,43.288006,-0.5505802,0.985032,8.295172,0.2991669,0.23209389,0.067073,-126.33309
13.875,-9.1875,-39.8125,43.150444,-0.29645962,-0.38590702,12.387207,-0.6292086,0.0010646508,0.8346863,-128.92276
13.8125,-10.875,-39.3125,43.06418,-1.1221241,0.35852692,8.159889,0.06174975,-0.0042586033,0.10007718,-137.50264
13.1875,-11.875,-39.0625,42.9046,0.1229662,1.1769321,9.584392,-0.22464132,0.052167892,0.1234995,-117.24122
13.875,-9.875,-39.0625,42.6135,-1.3442963,-0.64304423,13.695159,0.32791245,-0.56426495,-0.54723054,-139.602
14.375,-10.8125,-38.4375,42.4381,-0.38346493,0.13482228,7.2091427,0.16821483,0.4375715,-0.47483426,-129.30435
13.3125,-12.6875,-38.25,42.441227,-0.23430616,0.98397857,9.750722,0.1884432,0.32684782,0.11711159,-125.24032
16.125,-12.0,-37.25,42.327038,-1.4893563,-0.23484245,12.246936,0.008517207,-0.22677062,0.08943067,-137.90007
15.0,-11.375,-37.25,41.736713,-0.23803154,0.9020203,6.768638,-0.27361527,-0.23528783,0.22889993,-114.6946
14.6875,-11.125,-37.5,41.782032,0.6991356,1.3905907,10.319,-0.15118042,-0.072396256,0.1362753,-109.7533
15.3125,-12.0,-36.6875,41.52644,0.2172307,-1.2257164,13.696538,-0.23635249,0.1213702,-0.17779669,-133.72418
16.375,-11.0625,-35.9375,41.012478,-0.23100215,0.5209017,7.434035,0.23635249,0.06174975,-0.45992917,-119.105225
18.1875,-13.25,-34.5625,41.242138,-0.18972611,0.87464976,11.88838,-0.09581858,0.10114183,0.42160174,-121.14848
16.1875,-13.8125,-33.875,40.0042,-1.415567,0.1916319,12.19795,-0.23102923,0.43011895,0.42053708,-137.43633
14.9375,-13.0,-34.9375,40.159157,-0.3512677,1.2481548,7.8319125,-0.10220648,0.045779984,0.12882276,-118.477295
15.625,-13.4375,-34.9375,40.56274,0.1194994,1.9322741,10.351561,0.046844635,-0.34281757,-0.13308136,-113.08858
15.3125,-15.4375,-34.0625,40.410927,0.42415676,-0.65140486,13.026238,0.45247662,-0.072396256,-0.08197811,-136.16246
16.625,-15.5625,-33.5625,40.558887,-0.38055354,1.1077302,6.143311,0.30449015,-0.034068827,-0.26509807,-122.36493
